FinalCustomerName,Segment,BU,DU,Month,NetAvailableHours
A94,Transportation,Embedded Engineering and V&V Group,V&V - Transportation,Jun,592
A95,Transportation,Aerospace & Rail,Aerospace & Rail,Apr,867
A95,Transportation,Aerospace & Rail,Aerospace & Rail,May,796
A95,Transportation,Aerospace & Rail,Aerospace & Rail,Jun,814
A95,Transportation,Embedded Engineering and V&V Group,Embedded HW & SW Engineering,Apr,2185
A95,Transportation,Embedded Engineering and V&V Group,Embedded HW & SW Engineering,May,2171
A95,Transportation,Embedded Engineering and V&V Group,Embedded HW & SW Engineering,Jun,1472
A95,Transportation,Embedded Engineering and V&V Group,V&V - Transportation,Apr,1788
A95,Transportation,Embedded Engineering and V&V Group,V&V - Transportation,May,2098
A95,Transportation,Embedded Engineering and V&V Group,V&V - Transportation,Jun,2184
A96,Transportation,Aerospace & Rail,Aerospace & Rail,Apr,3944
A96,Transportation,Aerospace & Rail,Aerospace & Rail,May,4029
A96,Transportation,Aerospace & Rail,Aerospace & Rail,Jun,5222
A96,Transportation,Embedded Engineering and V&V Group,V&V - M&T and IP,Apr,41
A96,Transportation,Embedded Engineering and V&V Group,V&V - M&T and IP,May,185
A96,Transportation,Embedded Engineering and V&V Group,V&V - M&T and IP,Jun,-4
A96,Transportation,Embedded Engineering and V&V Group,V&V - Transportation,Apr,543
A96,Transportation,Embedded Engineering and V&V Group,V&V - Transportation,May,276
A96,Transportation,Embedded Engineering and V&V Group,V&V - Transportation,Jun,863
A97,Industrial Products,Aerospace & Rail,Aerospace & Rail,Apr,584
A97,Industrial Products,Aerospace & Rail,Aerospace & Rail,May,68
A97,Industrial Products,Aerospace & Rail,Aerospace & Rail,Jun,-8
A97,Industrial Products,Embedded Engineering and V&V Group,Embedded HW & SW Engineering,Apr,-4
A97,Industrial Products,Embedded Engineering and V&V Group,V&V - Transportation,Apr,1128
A97,Industrial Products,Embedded Engineering and V&V Group,V&V - Transportation,May,704
A97,Industrial Products,Embedded Engineering and V&V Group,V&V - Transportation,Jun,924
A97,Media & Technology,Aerospace & Rail,Aerospace & Rail,Jun,12
A97,Transportation,Aerospace & Rail,Aerospace & Rail,May,8
A99,Plant Engineering,FMCG,FMCG,May,154
A99,Plant Engineering,FMCG,FMCG,Jun,161
