FinalCustomerName,Segment,BU,DU,Month,Revenue
A130,Transportation,DIGITAL PRODUCTS & SERVICES,DIGITAL IP & MEDICAL,Apr,0.0
A130,Transportation,DIGITAL PRODUCTS & SERVICES,DIGITAL IP & MEDICAL,May,0.0
A130,Transportation,DIGITAL PRODUCTS & SERVICES,DIGITAL PE & MOBILITY,Apr,3195.44722895
A130,Transportation,DIGITAL PRODUCTS & SERVICES,DIGITAL PE & MOBILITY,Jun,1916.55329953
A130,Transportation,DIGITAL PRODUCTS & SERVICES,DIGITAL PE & MOBILITY,May,2874.84213744
A131,Transportation,DIGITAL MANUFACTURING SERVICES,MECHANICAL SERVICES,Apr,6418.902815110001
A131,Transportation,DIGITAL MANUFACTURING SERVICES,MECHANICAL SERVICES,Jun,9362.64047352
A131,Transportation,DIGITAL MANUFACTURING SERVICES,MECHANICAL SERVICES,May,-1920.0228581400002
A131,Transportation,DIGITAL MANUFACTURING SERVICES,SMART MANUFACTURING & SOURCING,Apr,12477.61344375
A131,Transportation,DIGITAL MANUFACTURING SERVICES,SMART MANUFACTURING & SOURCING,Jun,16221.324061950001
A131,Transportation,DIGITAL MANUFACTURING SERVICES,SMART MANUFACTURING & SOURCING,May,13898.97866279
A132,Transportation,DIGITAL MANUFACTURING SERVICES,MECHANICAL SERVICES,Apr,17498.341017040002
A132,Transportation,DIGITAL MANUFACTURING SERVICES,MECHANICAL SERVICES,Jun,13629.214386790001
A132,Transportation,DIGITAL MANUFACTURING SERVICES,MECHANICAL SERVICES,May,15758.98709495
A133,Transportation,DIGITAL MANUFACTURING SERVICES,MECHANICAL SERVICES,Apr,10685.265467199999
A133,Transportation,DIGITAL MANUFACTURING SERVICES,MECHANICAL SERVICES,Jun,13335.82136035
A133,Transportation,DIGITAL MANUFACTURING SERVICES,MECHANICAL SERVICES,May,20056.12075045
A134,Transportation,DIGITAL MANUFACTURING SERVICES,MECHANICAL SERVICES,Apr,2012.9940282
A134,Transportation,DIGITAL MANUFACTURING SERVICES,MECHANICAL SERVICES,Jun,2101.0005605300003
A134,Transportation,DIGITAL MANUFACTURING SERVICES,MECHANICAL SERVICES,May,2224.8889917399997
A135,Transportation,DIGITAL MANUFACTURING SERVICES,MECHANICAL SERVICES,Jun,22751.203999999998
A136,Transportation,DIGITAL MANUFACTURING SERVICES,SMART MANUFACTURING & SOURCING,Apr,40188.69367177
A136,Transportation,DIGITAL MANUFACTURING SERVICES,SMART MANUFACTURING & SOURCING,Jun,40384.43528047
A136,Transportation,DIGITAL MANUFACTURING SERVICES,SMART MANUFACTURING & SOURCING,May,52804.54505611
A138,Transportation,DIGITAL MANUFACTURING SERVICES,PRODUCT LIFECYCLE MGMT,Apr,-6466.525960339999
A138,Transportation,DIGITAL MANUFACTURING SERVICES,PRODUCT LIFECYCLE MGMT,May,13120.62747223
A139,Transportation,DIGITAL MANUFACTURING SERVICES,PRODUCT LIFECYCLE MGMT,Jun,39928.363020000004
A139,Transportation,DIGITAL MANUFACTURING SERVICES,PRODUCT LIFECYCLE MGMT,May,0.0
A14,Plant Engineering,FMCG,FMCG,Jun,12266.149128000001
A14,Plant Engineering,FMCG,FMCG,May,6437.778189000001
A140,Media & Technology,DIGITAL MANUFACTURING SERVICES,PRODUCT LIFECYCLE MGMT,Apr,42343.240816000005
A140,Media & Technology,DIGITAL MANUFACTURING SERVICES,PRODUCT LIFECYCLE MGMT,Jun,31630.673904
A140,Media & Technology,DIGITAL MANUFACTURING SERVICES,PRODUCT LIFECYCLE MGMT,May,39704.101152
A141,Transportation,EMBEDDED ENGINEERING AND V&V GROUP,V&V - M&T AND IP,Apr,1931.4147110000001
A141,Transportation,EMBEDDED ENGINEERING AND V&V GROUP,V&V - M&T AND IP,May,0.0
A141,Transportation,EMBEDDED ENGINEERING AND V&V GROUP,V&V - TRANSPORTATION,Apr,2147.7136576
A141,Transportation,EMBEDDED ENGINEERING AND V&V GROUP,V&V - TRANSPORTATION,Jun,2145.66604924
A141,Transportation,EMBEDDED ENGINEERING AND V&V GROUP,V&V - TRANSPORTATION,May,4195.18388529
A143,Transportation,EMBEDDED ENGINEERING AND V&V GROUP,V&V - TRANSPORTATION,Apr,7755.35729065
A143,Transportation,EMBEDDED ENGINEERING AND V&V GROUP,V&V - TRANSPORTATION,Jun,8960.147298470001
A143,Transportation,EMBEDDED ENGINEERING AND V&V GROUP,V&V - TRANSPORTATION,May,8127.35572691
A145,Media & Technology,EMBEDDED ENGINEERING AND V&V GROUP,V&V - M&T AND IP,Apr,19511.29441809
